record_id,title,publication_type,date,year,venue,authors,abstract,source,full_text_available
CTX-001,Quantitative correlative SEM–EBSD analysis of precipitate–particle and precipitate–boundary interactions in Al-Mg-Si alloys,Article,Mar 2026,2026,Materials Characterization,Seyyed Ezzatollah MoosaviCyril CayronYandong Jing[...]Roland E. Logé,,uploaded context text,False
CTX-002,A quantitative study of texture evolution mechanisms in cold-rolled 6014 aluminum alloy using the viscoplastic self-consistent model with grain fragmentation,Article,Feb 2026,2026,Materials & Design,Yandong JingElisa CantergianiMiroslav Zecevic[...]Roland E. Logé,,uploaded context text,False
CTX-003,Corrigendum to “A quantitative study of texture evolution mechanisms in cold-rolled 6014 aluminum alloy using the viscoplastic self-consistent model with grain fragmentation”. [Mater. Design 263 (2026) 115635],Article,Feb 2026,2026,Materials & Design,Yandong JingElisa CantergianiMiroslav Zecevic[...]Roland E. Logé,,uploaded context text,False
CTX-004,"Compatibilities and Supercompatibility Conditions in Shape Memory Alloys Determined From Correspondence, Metrics and Symmetries",Preprint,Jan 2026,2026,,Cyril Cayron,"The phenomenological theory of martensite crystallography (PTMC) developed in the 1950’s explains the main crystallographic and microstructural features of martensite in shape memory alloys, such as the habit planes of bi-variant laminate martensite product, and the transformation twins between the variants. It also permits to determine the austeni...",uploaded context text,False
CTX-005,Sensitivity of β-Mg2Si nucleation rate to interfacial energy and temperature in an Al–Mg–Si alloy,Preprint,Jan 2026,2026,,Seyyed Ezzatollah MoosaviCyril CayronZeqin Liang[...]Roland E. Logé,"The formation of β-Mg2Si precipitates influences the microstructural evolution and, consequently, the final mechanical properties of Al–Mg–Si alloys during thermomechanical processing. Here, the sensitivity of the nucleation rate to interfacial energy and temperature is quantified within the framework of classical nucleation theory (CNT), capturing...",uploaded context text,False
CTX-006,Large scale stabilization of the BCC phase in copper-steel laser powder bed fusion enabling statistical microstructural analysis and mechanical testing,Article,Nov 2025,2025,Materials & Design,Amir Mohammad JamiliJamasp JhabvalaCyril Cayron[...]Roland E. Logé,,uploaded context text,False
CTX-007,The weak twins in martensite (as a part of the correspondence «theory»),Presentation,Sep 2025,2025,,Cyril Cayron,"The presentation explains - How to use the symmetries and the correspondence to determine the different types of twins between the martensite variants - How to calculate the ""twin"" between two variants that only linked by a 3-fold or 4-fold symmetry of the parent phase but not a 2-fold symmetry.",uploaded context text,True
CTX-008,Microstructures and outstanding mechanical properties of the 18 carat Au–Ti alloy after age-hardening,Article,Aug 2025,2025,Journal of Alloys and Compounds,Céline GuidouxCyril CayronDamien Colas[...]Roland E. Logé,,uploaded context text,False
CTX-009,"Formation mechanism and microstructural characteristics of a body-centered cubic phase in 3D printed 316L-CuCrZr multi-material structures, combining laser powder bed fusion with foils",Article,Jul 2025,2025,Scripta Materialia,Amir Mohammad JamiliIndranil BasuCyril Cayron[...]Roland E. Logé,"Additive manufacturing of 316L/CuCrZr multi-material metallic structures has recently attracted significant attention, due to the ideal combination of structural and thermal/electrical properties. In this work, a unique multi-phase microstructure was produced with a hybrid laser-powder bed fusion (L-PBF) process combining 316L steel thin foils and... a Fe-Ni-rich glass (dotted... a TEM-EDS (Kα) Ni map and Fe/Ni/Co... Solid Fe-Ni metal blebs as geothermometers a T-XFe,Ni binary phase...",uploaded context text,True
CTX-010,Pinpointing the thermal history of lunar basaltic meteorites in a nutshell,Article,May 2025,2025,,,"Pierre VonlanthenFarhang NabieiCyril Cayron[...]Philippe Gillet Native metals of igneous origin are recognized as one of the distinctive features of basalts from the Moon. Our study demonstrates that the tiny Fe-Ni metal blebs nucleated from lunar magma exhibit unanticipated, nutshell-like, crystallographic microstructures, that can be used in conjunction with local variations in chemical compositions to trace... Experimental beam profiles taken at 112 W and their corresponding phase...",uploaded context text,True
