title,publication_type,date,year,venue,authors,abstract,source,full_text_available
Quantitative correlative SEM–EBSD analysis of precipitate–particle and precipitate–boundary interactions in Al-Mg-Si alloys,Article,Mar 2026,2026,Materials Characterization,Seyyed Ezzatollah MoosaviCyril CayronYandong Jing[...]Roland E. Logé,,Uploaded ResearchGate text,False
A quantitative study of texture evolution mechanisms in cold-rolled 6014 aluminum alloy using the viscoplastic self-consistent model with grain fragmentation,Article,Feb 2026,2026,Materials & Design,Yandong JingElisa CantergianiMiroslav Zecevic[...]Roland E. Logé,,Uploaded ResearchGate text,False
Corrigendum to “A quantitative study of texture evolution mechanisms in cold-rolled 6014 aluminum alloy using the viscoplastic self-consistent model with grain fragmentation”. [Mater. Design 263 (2026) 115635],Article,Feb 2026,2026,Materials & Design,Yandong JingElisa CantergianiMiroslav Zecevic[...]Roland E. Logé,,Uploaded ResearchGate text,False
"Compatibilities and Supercompatibility Conditions in Shape Memory Alloys Determined From Correspondence, Metrics and Symmetries",Preprint,Jan 2026,2026,,Cyril Cayron,"The phenomenological theory of martensite crystallography (PTMC) developed in the 1950’s explains the main crystallographic and microstructural features of martensite in shape memory alloys, such as the habit planes of bi-variant laminate martensite product, and the transformation twins between the variants. It also permits to determine the austeni...",Uploaded ResearchGate text,False
Sensitivity of β-Mg2Si nucleation rate to interfacial energy and temperature in an Al–Mg–Si alloy,Preprint,Jan 2026,2026,,Seyyed Ezzatollah MoosaviCyril CayronZeqin Liang[...]Roland E. Logé,"The formation of β-Mg2Si precipitates influences the microstructural evolution and, consequently, the final mechanical properties of Al–Mg–Si alloys during thermomechanical processing. Here, the sensitivity of the nucleation rate to interfacial energy and temperature is quantified within the framework of classical nucleation theory (CNT), capturing...",Uploaded ResearchGate text,False
Large scale stabilization of the BCC phase in copper-steel laser powder bed fusion enabling statistical microstructural analysis and mechanical testing,Article,Nov 2025,2025,Materials & Design,Amir Mohammad JamiliJamasp JhabvalaCyril Cayron[...]Roland E. Logé,,Uploaded ResearchGate text,False
The weak twins in martensite (as a part of the correspondence «theory»),Presentation,Sep 2025,2025,,Cyril Cayron,"The presentation explains - How to use the symmetries and the correspondence to determine the different types of twins between the martensite variants - How to calculate the ""twin"" between two variants that only linked by a 3-fold or 4-fold symmetry of the parent phase but not a 2-fold symmetry.",Uploaded ResearchGate text,True
Microstructures and outstanding mechanical properties of the 18 carat Au–Ti alloy after age-hardening,Article,Aug 2025,2025,Journal of Alloys and Compounds,Céline GuidouxCyril CayronDamien Colas[...]Roland E. Logé,,Uploaded ResearchGate text,False
"Formation mechanism and microstructural characteristics of a body-centered cubic phase in 3D printed 316L-CuCrZr multi-material structures, combining laser powder bed fusion with foils",Article,Jul 2025,2025,Scripta Materialia,Amir Mohammad JamiliIndranil BasuCyril Cayron[...]Roland E. Logé,"Additive manufacturing of 316L/CuCrZr multi-material metallic structures has recently attracted significant attention, due to the ideal combination of structural and thermal/electrical properties. In this work, a unique multi-phase microstructure was produced with a hybrid laser-powder bed fusion (L-PBF) process combining 316L steel thin foils and...",Uploaded ResearchGate text,True
Pinpointing the thermal history of lunar basaltic meteorites in a nutshell,Article,May 2025,2025,Nature Communications,Pierre VonlanthenFarhang NabieiCyril Cayron[...]Philippe Gillet,"Native metals of igneous origin are recognized as one of the distinctive features of basalts from the Moon. Our study demonstrates that the tiny Fe-Ni metal blebs nucleated from lunar magma exhibit unanticipated, nutshell-like, crystallographic microstructures, that can be used in conjunction with local variations in chemical compositions to trace...",Uploaded ResearchGate text,True
Toward Architected Microstructures Using Advanced Laser Beam Shaping in Laser Powder Bed Fusion of Ti‐6Al‐4V,Article,Apr 2025,2025,Advanced Functional Materials,Reza EsmaeilzadehJamasp JhabvalaLucas Schlenger[...]Roland E. Logé,"Laser Powder Bed Fusion (LPBF) stations mostly use lasers with a Gaussian beam intensity distribution, as it has advantages like small divergence and high ability to be focused. This distribution creates significant thermal gradients leading to high cooling rates, which promote the formation of an α’‐martensitic structure in Ti‐6Al‐4V. While this m...",Uploaded ResearchGate text,True
"Martensite, twins and math",Presentation,Mar 2025,2025,,Cyril Cayron,Understanding complex microstructures required crystallography and math. Two examples: martensite treated by group theory and twins treated by number theory,Uploaded ResearchGate text,True
Microstructures and Outstanding Mechanical Properties of the 18 Carat Au-Ti Alloy,Preprint,Jan 2025,2025,,Céline GuidouxCyril CayronDamien Colas[...]Roland E. Logé,,Uploaded ResearchGate text,False
Tailoring Mechanical Properties and Microstructures in Laser Powder Bed Fusion of 316 L Stainless Steel through Aluminium Alloying and Combined Ex-Situ and In-Situ Heat Treatments,Article,Dec 2024,2024,Additive Manufacturing,Claire NavarreCyril CayronButtard Maxence[...]Roland E. Logé,,Uploaded ResearchGate text,False
Microstructure and texture evolution in laser Shock Peened martensitic NiTi shape memory alloy,Article,Dec 2024,2024,Materials & Design,Junfeng XiaoYandong JingReza Esmaeilzadeh[...]Roland E. Logé,,Uploaded ResearchGate text,True
The role of interaction work in martensite deformation,Article,Nov 2024,2024,Scripta Materialia,Junfeng XiaoCyril CayronRoland E. Logé,"This study elucidates the evolution of martensite deformation via Interaction Work (IW). The IW is the mechanical work done by external loading, assisting deformation by competing with the energy barrier. This interplay establishes the maximum IW (IW max) criterion for variant selection of different deformation modes. Considering multiple deformati...",Uploaded ResearchGate text,True
"Zircon microstructures record high temperature and pressure conditions during impact melt evolution at the West Clearwater Lake impact structure, Canada",Article,Jun 2024,2024,Earth and Planetary Science Letters,Neeraja S. ChinchalkarGordon R. OsinskiTimmons EricksonCyril Cayron,,Uploaded ResearchGate text,False
